,Unnamed: 0,track,artist,album,artist pop,track pop,track genre,duration,release date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
71,71,Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),81,81,boy band,192120,2015-11-13,0.731,0.703,-5.672,0.0368,0.111,0,0.0657,0.595,138.111
72,72,Best Song Ever,One Direction,Midnight Memories (Deluxe),81,76,boy band,200106,2013-11-25,0.652,0.877,-2.986,0.0465,0.0227,0,0.0789,0.486,118.491
73,73,Counting Stars,OneRepublic,Native,80,87,piano rock,257265,2013-01-01,0.663,0.706,-4.972,0.0383,0.0654,0,0.118,0.474,122.013
74,74,Glad You Came,The Wanted,Battleground (Deluxe Edition),60,78,boy band,197935,2011-01-01,0.722,0.851,-3.873,0.0639,0.0319,0,0.108,0.452,126.885
75,75,"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,Writing's On The Wall,80,65,pop,278987,2015-09-25,0.261,0.302,-8.19,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418
76,76,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],76,82,dance pop,289133,2009-01-01,0.744,0.766,-6.375,0.0265,0.0873,0,0.509,0.61,127.966
77,77,Issues,Julia Michaels,Nervous System,70,0,pop,176320,2017-07-28,0.67,0.415,-6.855,0.0786,0.39,0,0.0617,0.445,114.212
78,78,All About That Bass,Meghan Trainor,NOW 100 Hits Party,74,0,hip pop,187189,2019-11-29,0.8,0.876,-4.508,0.051,0.0508,2.75e-06,0.136,0.961,134.07
79,79,Girl on Fire,Alicia Keys,Girl on Fire (Remixes) - EP,75,79,neo soul,224920,2012-11-18,0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513
80,80,Arcade,Duncan Laurence,Arcade,62,76,dutch pop,183624,2019-03-07,0.459,0.331,-12.603,0.0421,0.817,0.00104,0.135,0.271,72.023
81,81,Moral of the Story,Ashe,Moral of the Story,65,72,alt z,201083,2019-02-14,0.572,0.406,-8.624,0.0427,0.587,4.48e-06,0.102,0.265,119.812
82,82,Another One Bites The Dust - Remastered 2011,Queen,The Game (2011 Remaster),81,83,classic rock,214653,1980-06-27,0.933,0.528,-6.472,0.161,0.112,0.312,0.163,0.754,109.967
83,83,Another Love,Tom Odell,Long Way Down (Deluxe),73,89,chill pop,244360,2013-06-24,0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769
84,84,deja vu,Olivia Rodrigo,deja vu,86,13,pop,215507,2021-04-01,0.439,0.61,-7.236,0.116,0.593,1.07e-05,0.341,0.172,181.088
85,85,Don't You Worry Child,Madilyn Bailey,"The Covers, Vol. 4",51,0,channel pop,207786,2013-01-17,0.463,0.356,-7.751,0.0417,0.814,0,0.334,0.378,125.231
86,86,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II (Deluxe Edition),66,61,dance pop,210960,2011-11-15,0.646,0.795,-3.293,0.0976,0.0319,0,0.267,0.796,89.99
87,87,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,85,89,dance pop,233478,2012-12-07,0.726,0.698,-4.165,0.0431,0.049,0,0.309,0.867,143.994
88,88,Forget You,CeeLo Green,The Lady Killer (The Platinum Edition),62,57,atl hip hop,222733,2010-11-09,0.696,0.875,-3.682,0.0649,0.134,0,0.159,0.772,127.39
89,89,Lost In The Wild,WALK THE MOON,What If Nothing,67,63,dance rock,235960,2017-11-10,0.483,0.77,-4.829,0.0512,0.007,0,0.182,0.386,132.992
90,90,Stay,Rihanna,Unapologetic (Deluxe),87,75,barbadian pop,240706,2012-12-11,0.621,0.31,-10.164,0.0283,0.945,6.12e-05,0.117,0.125,111.881
91,91,Mercy,Shawn Mendes,Illuminate (Deluxe),78,80,canadian pop,208733,2017-04-20,0.554,0.662,-4.957,0.0821,0.126,0,0.111,0.338,148.122
92,92,Train Wreck,James Arthur,Back from the Edge,78,80,pop,208826,2016-10-28,0.311,0.485,-5.726,0.0365,0.701,0,0.0726,0.225,77.355
93,93,a thousand years,Christina Perri,Autumn Tracks,68,25,pop,285120,2019-11-15,0.423,0.407,-7.45,0.0267,0.312,0.000961,0.11,0.161,139.048
94,94,By Your Side,Jonas Blue,Blue,70,65,pop,201254,2018-11-09,0.695,0.743,-3.85,0.0329,0.0786,0,0.0587,0.634,123.007
95,95,Lay Me Down,Sam Smith,In The Lonely Hour,80,70,pop,253208,2014-05-26,0.418,0.332,-9.482,0.0492,0.771,2.01e-05,0.109,0.171,119.164
96,96,Lost Boy,Ruth B.,Lost Boy,70,67,alt z,275280,2015-08-21,0.71,0.0565,-15.099,0.0534,0.965,0,0.0889,0.348,123.994
97,97,Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),69,76,art pop,248826,2016-03-11,0.422,0.302,-9.214,0.0372,0.629,7.83e-05,0.104,0.123,114.089
98,98,In the Name of Love,Martin Garrix,In the Name of Love,72,80,dutch edm,195706,2016-07-29,0.501,0.519,-5.88,0.0409,0.109,0,0.454,0.168,133.99
99,99,Be Alright,Dean Lewis,Be Alright,72,77,australian pop,196373,2018-06-29,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
0,0,Love Of My Life - Remastered 2011,Queen,A Night At The Opera (Deluxe Edition 2011 Remaster),81,72,classic rock,217386,1975-11-21,0.328,0.179,-11.589,0.0299,0.933,5.54e-06,0.115,0.256,154.803
1,1,Wishing (If I Had a Photograph of You),A Flock Of Seagulls,Listen,53,39,new romantic,330960,1983-05,0.52,0.605,-11.013,0.0353,0.181,0.699,0.0623,0.77,120.256
2,2,"The More You Live, The More You Love",A Flock Of Seagulls,The Story Of A Young Heart,53,44,new romantic,250520,1984,0.622,0.74,-10.271,0.0354,0.00388,0.00405,0.538,0.786,139.525
3,3,Mijn Oude Hart,Gorki,Homo Erectus,35,0,belgian rock,241480,2006-01-01,0.446,0.493,-11.256,0.0268,0.0115,0.727,0.56,0.387,100.07
4,4,En Route,Tourist LeMC,En Route,44,43,belgian hip hop,223450,2015-03-20,0.624,0.672,-7.759,0.266,0.185,0,0.176,0.477,100.098
5,5,Les yeux de ma mère (en concert),Arno,En concert (À la française),36,37,belgian blues,250626,1997-02-21,0.459,0.481,-10.181,0.0361,0.947,0.000675,0.727,0.212,115.913
6,6,Cigar,Tamino,Amir,51,51,belgian indie,247133,2018-10-19,0.589,0.382,-9.56,0.0283,0.567,0.000203,0.0884,0.209,77.996
7,7,Habibi,Tamino,Habibi,51,22,belgian indie,309446,2017-02-05,0.339,0.328,-6.424,0.0281,0.894,0.113,0.187,0.065,121.871
8,8,Closer,Trixie Whitley,Porta Bohemica,25,28,belgian indie,282666,2015-10-23,0.607,0.465,-11.259,0.0722,0.293,0.00181,0.11,0.46,159.845
9,9,What He Wrote,Laura Marling,I Speak Because I Can,49,56,british folk,247123,2010-01-01,0.458,0.0987,-16.021,0.0376,0.948,0.00954,0.109,0.349,139.987
10,10,Tummy,Tamino,Amir,51,46,belgian indie,190146,2018-10-19,0.651,0.47,-9.153,0.0329,0.559,0.00425,0.0919,0.364,98.957
11,11,Take This Waltz - Paris Version,Leonard Cohen,I'm Your Man,61,50,canadian singer-songwriter,359426,1988-02-02,0.439,0.155,-17.463,0.0317,0.754,0.0148,0.101,0.304,142.034
12,12,The Greatest,Cat Power,The Greatest,52,0,art pop,202560,2006-01-24,0.508,0.362,-9.688,0.0262,0.738,0.000998,0.0922,0.328,107.459
13,13,Een Vriend Zien Huilen,Herman van Veen,20 Jaar Herman Van Veen - In Vogelvlucht,43,25,dutch pop,231866,1987-10-01,0.233,0.0445,-22.619,0.0339,0.981,0.0326,0.1,0.139,81.185
14,14,Dance The Way I Feel,Ou Est Le Swimming Pool,Dance The Way I Feel,27,25,australian dance,205586,2010-01-01,0.711,0.959,-5.452,0.0409,0.0114,5.5e-06,0.119,0.482,118.023
15,15,"Dagen Van Gras, Dagen van Stro",Spinvis,"Dagen Van Gras, Dagen Van Stro",41,0,dutch indie,177973,2005-11-28,0.596,0.344,-14.921,0.0343,0.267,0.74,0.0814,0.299,120.037
16,16,Voor ik vergeet,Spinvis,Spinvis,41,0,dutch indie,265040,2002,0.404,0.69,-7.883,0.0341,0.0517,0.0708,0.0797,0.515,212.004
17,17,Ooit was ik een soldaat - Live,Gorki,Boterhammen,35,26,belgian rock,272226,1992-07-01,0.61,0.435,-13.157,0.0408,0.577,0,0.788,0.487,123.945
18,18,Mia,Gorki,Gorky,35,49,belgian rock,332200,1992-01-01,0.697,0.298,-16.929,0.0319,0.0411,0.000123,0.103,0.233,113.571
19,19,Je t'attends,Axelle Red,Sans plus attendre,50,28,belgian indie,215693,1993-09-01,0.709,0.307,-13.996,0.0319,0.672,4.16e-05,0.108,0.351,119.997
20,20,Snuff,Slipknot,All Hope Is Gone,76,69,alternative metal,276146,2008-08-22,0.544,0.69,-5.723,0.0425,0.012,0.0095,0.0615,0.219,123.962
21,21,Circle,Edie Brickell & New Bohemians,Shooting Rubberbands At The Stars,42,50,ectofolk,190906,1988-01-01,0.607,0.317,-13.605,0.0318,0.53,6.86e-06,0.185,0.429,82.005
22,22,Lover,Taylor Swift,Lover,100,88,pop,221306,2019-08-23,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534
23,23,No Sound But The Wind (Live at Rock Werchter 2010),Editors,No Sound But The Wind (Live at Rock Werchter 2010),50,0,british indie rock,228653,2010-07-11,0.446,0.295,-9.28,0.0331,0.889,0,0.532,0.118,85.523
24,24,O Telefone Tocou Novamente,Jorge Ben Jor,Força Bruta,61,58,bossa nova,228946,1970-01-12,0.536,0.731,-6.967,0.0433,0.599,0,0.123,0.558,88.161
25,25,Shallow - Radio Edit,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),81,70,art pop,217212,2018-10-05,0.575,0.33,-6.557,0.031,0.416,0,0.0872,0.276,95.799
26,26,Blinded by the Lights,The Streets,A Grand Don't Come for Free,54,53,birmingham hip hop,284600,2004,0.599,0.701,-5.718,0.568,0.315,0,0.102,0.669,133.046
27,27,when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",86,85,art pop,196077,2019-03-29,0.367,0.111,-14.084,0.0972,0.978,3.97e-05,0.0897,0.198,82.642
28,28,Six Feet Under,Billie Eilish,Six Feet Under,86,73,art pop,189613,2016-11-17,0.576,0.307,-12.732,0.0428,0.807,0.000355,0.0792,0.157,67.513
29,29,Horizon,Tourist LeMC,En Route,44,50,belgian hip hop,213339,2015-03-20,0.672,0.375,-11.404,0.0389,0.775,4.76e-05,0.115,0.251,99.847
30,30,Siretzi Yares Daran (They Have Taken the One I Love),Lévon Minassian,The Doudouk - Beyond Borders,33,0,duduk,419706,2000-06-01,0.0645,0.0246,-28.176,0.0468,0.991,0.958,0.107,0.035,65.9
31,31,True Sorry,Ibrahim Maalouf,Illusions,50,53,arabic jazz,291303,2013-11-05,0.288,0.454,-7.639,0.0369,0.585,0.882,0.177,0.0792,123.143
32,32,Sahara,Rabih Abou-Khalil,Blue Camel,32,0,arab folk,498360,1992-01-01,0.528,0.154,-18.138,0.0457,0.943,0.746,0.116,0.283,88.533
33,33,Let Me Love You,DJ Snake,Encore,75,84,edm,205946,2016-08-05,0.475,0.715,-5.371,0.058,0.0863,2.67e-05,0.135,0.159,199.892
34,34,I Took A Pill In Ibiza,Mike Posner,"At Night, Alone.",67,56,dance pop,280800,2016-05-06,0.637,0.318,-10.07,0.0716,0.622,1.58e-06,0.125,0.383,74.11
35,35,Firestone,Kygo,Cloud Nine,77,77,edm,271640,2016-05-13,0.704,0.634,-7.374,0.0428,0.393,3.17e-05,0.0952,0.411,113.927
36,36,Reality,Lost Frequencies,Less Is More,75,0,belgian edm,158474,2016-10-21,0.731,0.639,-6.597,0.0359,0.0206,1.29e-05,0.0789,0.527,122.08
37,37,Get Free,Major Lazer,Free the Universe,73,58,dance pop,289973,2013-04-15,0.525,0.65,-6.961,0.0683,0.0852,0.133,0.133,0.787,175.913
38,38,Disparate Youth - Radio Edit,Santigold,Disparate Youth,54,31,alternative dance,221082,2012-03-09,0.645,0.942,-3.69,0.0408,0.00773,0.749,0.304,0.622,152.04
39,39,Indifference - Remastered,Pearl Jam,Vs.,73,50,alternative metal,302253,1993-10-19,0.305,0.28,-12.697,0.0296,0.929,0.00185,0.117,0.245,102.758
40,40,Mouneïssa,Rokia Traoré,Mouneïssa,36,31,afropop,343093,1998,0.733,0.173,-13.038,0.0326,0.852,0,0.0871,0.615,98.081
41,41,Prologue,Loreena McKennitt,The Book of Secrets,50,44,canadian celtic,262734,1997-03-07,0.227,0.187,-17.862,0.0332,0.736,0.277,0.103,0.0543,168.891
42,42,Theme from Harry's Game - Remastered,Clannad,Magical Ring,46,2,celtic,149026,1983,0.205,0.255,-13.78,0.0341,0.952,0.0192,0.115,0.0377,68.685
43,43,Rising,Lhasa De Sela,Lhasa,43,40,afropop,228946,2017-09-29,0.584,0.179,-13.222,0.0311,0.964,0.000521,0.135,0.196,81.311
44,44,The Dragonborn Comes,Malukah,"The Dragonborn Comes (From ""The Elder Scrolls V: Skyrim"")",45,0,scorecore,121000,2017-07-30,0.321,0.147,-15.459,0.0365,0.925,0.00204,0.107,0.223,173.809
45,45,Acid Rain,Lorn,The Maze To Nowhere,49,61,glitch hop,172473,2015,0.408,0.497,-7.515,0.0352,0.0165,0.603,0.414,0.0961,55.803
46,46,Wodka,Stef Bos,Is Dit Nu Later,44,25,dutch pop,209866,1990-03-16,0.778,0.339,-13.112,0.0475,0.578,0,0.0958,0.873,139.99
47,47,Alles Wat Ik Heb,Stef Bos,Tussen De Liefde En De Leegte (TAKEN DOWN),44,0,dutch pop,207600,1992-01-01,0.468,0.329,-13.435,0.0278,0.714,0,0.151,0.486,163.456
48,48,Suzanne,Herman van Veen,20 Jaar Herman Van Veen - In Vogelvlucht,43,38,dutch pop,239226,1987-10-01,0.628,0.163,-21.221,0.0337,0.928,0.0123,0.115,0.176,129.05
49,49,"It's All Over Now, Baby Blue (feat. Van Morrison)",Them,Them Again (feat. Van Morrison),45,52,british blues,227440,1966-01-21,0.604,0.457,-9.264,0.049,0.19,0,0.123,0.694,112.18
50,50,Gelukkig zijn,Raymond Van Het Groenewoud,Meisjes,35,21,belgian rock,177773,1990-01-01,0.536,0.105,-17.075,0.0408,0.872,9.19e-06,0.336,0.358,141.558
